iter	Passed	Remaining
0	136	136385
1	139	69580
2	147	49162
3	150	37517
4	153	30499
5	155	25810
6	158	22445
7	160	19938
8	163	17957
9	165	16375
10	167	15070
11	169	13991
12	172	13115
13	175	12360
14	178	11718
15	181	11153
16	184	10645
17	187	10218
18	190	9851
19	193	9499
20	196	9164
21	199	8869
22	202	8586
23	204	8317
24	206	8067
25	209	7842
26	211	7632
27	214	7446
28	217	7267
29	219	7106
30	222	6965
31	225	6825
32	228	6690
33	230	6553
34	233	6425
35	235	6305
36	237	6186
37	240	6083
38	242	5983
39	245	5883
40	247	5799
41	250	5710
42	252	5630
43	255	5547
44	257	5469
45	260	5395
46	262	5322
47	264	5250
48	267	5183
49	269	5117
50	271	5059
51	274	5001
52	277	4950
53	280	4909
54	282	4856
55	285	4815
56	288	4769
57	291	4730
58	293	4688
59	296	4651
60	299	4611
61	302	4569
62	304	4530
63	307	4491
64	309	4454
65	313	4430
66	315	4400
67	318	4369
68	321	4334
69	323	4302
70	326	4269
71	328	4239
72	331	4211
73	334	4181
74	336	4153
75	339	4125
76	341	4098
77	344	4075
78	347	4049
79	350	4027
80	352	4000
81	355	3979
82	357	3954
83	360	3933
84	363	3912
85	366	3890
86	369	3873
87	371	3854
88	374	3834
89	377	3813
90	380	3799
91	383	3780
92	386	3766
93	389	3750
94	393	3751
95	398	3748
96	402	3746
97	406	3738
98	409	3731
99	413	3723
100	417	3711
101	419	3695
102	422	3679
103	425	3669
104	428	3655
105	431	3638
106	433	3620
107	436	3601
108	438	3583
109	440	3565
110	443	3548
111	445	3532
112	447	3513
113	450	3497
114	452	3482
115	454	3465
116	457	3450
117	459	3434
118	461	3418
119	464	3403
120	466	3387
121	468	3372
122	471	3360
123	473	3345
124	475	3331
125	478	3318
126	481	3307
127	483	3293
128	485	3280
129	488	3269
130	490	3255
131	492	3241
132	495	3229
133	497	3216
134	500	3204
135	502	3195
136	505	3182
137	507	3171
138	510	3160
139	512	3148
140	515	3140
141	517	3128
142	520	3118
143	522	3106
144	524	3094
145	527	3084
146	529	3075
147	532	3065
148	535	3056
149	537	3045
150	540	3036
151	542	3028
152	545	3020
153	547	3009
154	550	3000
155	552	2991
156	555	2982
157	558	2973
158	560	2965
159	562	2955
160	565	2946
161	567	2937
162	570	2931
163	573	2924
164	576	2916
165	579	2909
166	581	2901
167	584	2894
168	587	2886
169	589	2880
170	592	2873
171	595	2865
172	597	2858
173	600	2850
174	603	2843
175	605	2836
176	608	2829
177	611	2823
178	613	2815
179	616	2810
180	619	2801
181	621	2793
182	624	2787
183	626	2779
184	629	2772
185	631	2764
186	634	2758
187	637	2751
188	639	2743
189	642	2737
190	644	2730
191	646	2722
192	649	2715
193	651	2708
194	654	2701
195	657	2695
196	659	2689
197	662	2683
198	664	2676
199	667	2669
200	670	2663
201	672	2656
202	675	2650
203	677	2643
204	679	2636
205	682	2629
206	684	2624
207	687	2617
208	690	2611
209	692	2605
210	695	2599
211	697	2593
212	700	2588
213	703	2582
214	705	2577
215	708	2571
216	710	2565
217	713	2560
218	716	2554
219	718	2548
220	721	2543
221	724	2538
222	727	2534
223	730	2528
224	732	2524
225	735	2517
226	737	2511
227	739	2505
228	742	2499
229	745	2494
230	747	2488
231	750	2483
232	753	2479
233	755	2473
234	758	2468
235	760	2462
236	763	2457
237	766	2453
238	768	2447
239	771	2442
240	773	2437
241	776	2430
242	778	2425
243	781	2420
244	783	2414
245	786	2409
246	788	2403
247	790	2398
248	793	2392
249	795	2386
250	798	2382
251	800	2376
252	803	2372
253	805	2366
254	808	2361
255	811	2357
256	813	2351
257	815	2346
258	818	2341
259	820	2335
260	823	2331
261	825	2326
262	828	2321
263	831	2317
264	833	2311
265	836	2307
266	838	2301
267	840	2296
268	843	2292
269	846	2288
270	849	2284
271	852	2280
272	854	2276
273	857	2272
274	859	2266
275	862	2262
276	864	2256
277	866	2250
278	869	2245
279	871	2241
280	874	2236
281	876	2231
282	882	2235
283	885	2232
284	889	2230
285	892	2227
286	895	2224
287	898	2222
288	901	2217
289	903	2212
290	907	2210
291	910	2207
292	913	2203
293	915	2198
294	917	2193
295	920	2188
296	922	2183
297	924	2178
298	927	2174
299	929	2168
300	931	2164
301	934	2159
302	936	2154
303	939	2151
304	942	2146
305	944	2142
306	947	2137
307	949	2132
308	951	2128
309	954	2124
310	956	2120
311	959	2115
312	962	2112
313	964	2108
314	967	2103
315	969	2099
316	972	2095
317	974	2090
318	977	2086
319	979	2081
320	981	2077
321	984	2073
322	987	2069
323	989	2065
324	992	2060
325	994	2055
326	996	2051
327	999	2046
328	1001	2042
329	1004	2038
330	1006	2034
331	1009	2031
332	1012	2027
333	1029	2053
334	1032	2049
335	1035	2046
336	1037	2042
337	1040	2038
338	1043	2035
339	1046	2031
340	1049	2027
341	1051	2023
342	1054	2019
343	1057	2015
344	1059	2011
345	1062	2008
346	1065	2004
347	1067	2000
348	1070	1997
349	1073	1994
350	1076	1990
351	1079	1987
352	1082	1983
353	1084	1979
354	1087	1975
355	1089	1971
356	1092	1967
357	1094	1963
358	1097	1958
359	1099	1955
360	1102	1951
361	1104	1947
362	1107	1943
363	1109	1939
364	1112	1935
365	1114	1931
366	1117	1926
367	1119	1923
368	1122	1918
369	1124	1914
370	1127	1911
371	1129	1907
372	1132	1903
373	1134	1899
374	1137	1895
375	1139	1891
376	1142	1887
377	1145	1884
378	1147	1880
379	1149	1875
380	1152	1872
381	1154	1868
382	1157	1864
383	1160	1860
384	1162	1857
385	1165	1853
386	1167	1849
387	1170	1846
388	1173	1842
389	1175	1838
390	1177	1834
391	1180	1830
392	1182	1826
393	1185	1823
394	1187	1819
395	1190	1815
396	1192	1811
397	1195	1807
398	1197	1804
399	1200	1800
400	1203	1797
401	1205	1793
402	1207	1789
403	1210	1785
404	1213	1782
405	1215	1778
406	1217	1774
407	1220	1770
408	1222	1767
409	1225	1763
410	1228	1759
411	1230	1756
412	1232	1752
413	1235	1748
414	1237	1744
415	1239	1740
416	1242	1737
417	1244	1733
418	1247	1729
419	1249	1725
420	1252	1722
421	1254	1718
422	1257	1714
423	1259	1710
424	1261	1707
425	1264	1703
426	1266	1699
427	1269	1696
428	1271	1692
429	1274	1689
430	1276	1685
431	1278	1681
432	1281	1677
433	1283	1674
434	1286	1670
435	1288	1667
436	1290	1663
437	1293	1659
438	1295	1655
439	1298	1652
440	1300	1648
441	1303	1645
442	1305	1641
443	1308	1637
444	1310	1634
445	1312	1630
446	1315	1627
447	1317	1623
448	1320	1619
449	1322	1616
450	1325	1612
451	1327	1609
452	1329	1605
453	1332	1602
454	1335	1599
455	1337	1595
456	1340	1592
457	1342	1588
458	1344	1585
459	1347	1581
460	1349	1578
461	1352	1574
462	1354	1571
463	1357	1568
464	1360	1564
465	1363	1562
466	1366	1559
467	1368	1555
468	1371	1552
469	1373	1549
470	1376	1545
471	1378	1542
472	1381	1538
473	1383	1535
474	1386	1532
475	1388	1528
476	1391	1525
477	1393	1521
478	1396	1518
479	1398	1514
480	1400	1511
481	1403	1508
482	1405	1504
483	1407	1500
484	1410	1497
485	1412	1493
486	1414	1490
487	1417	1487
488	1419	1483
489	1422	1480
490	1424	1476
491	1426	1473
492	1429	1470
493	1432	1466
494	1434	1463
495	1436	1460
496	1439	1456
497	1441	1453
498	1444	1450
499	1446	1446
500	1449	1443
501	1451	1439
502	1453	1436
503	1456	1433
504	1458	1429
505	1461	1426
506	1463	1423
507	1466	1419
508	1468	1416
509	1471	1413
510	1473	1410
511	1476	1407
512	1478	1403
513	1481	1400
514	1483	1397
515	1486	1394
516	1488	1390
517	1490	1387
518	1493	1384
519	1495	1380
520	1498	1377
521	1501	1374
522	1503	1371
523	1506	1368
524	1508	1364
525	1510	1361
526	1513	1358
527	1515	1354
528	1517	1351
529	1520	1348
530	1522	1344
531	1524	1340
532	1526	1337
533	1529	1334
534	1531	1331
535	1534	1328
536	1536	1324
537	1538	1321
538	1542	1319
539	1546	1317
540	1549	1314
541	1553	1312
542	1556	1309
543	1559	1307
544	1562	1304
545	1566	1302
546	1568	1299
547	1571	1296
548	1575	1294
549	1578	1291
550	1581	1288
551	1584	1285
552	1586	1282
553	1589	1279
554	1591	1276
555	1593	1272
556	1596	1269
557	1598	1266
558	1601	1263
559	1603	1260
560	1605	1256
561	1608	1253
562	1610	1250
563	1612	1246
564	1615	1243
565	1617	1240
566	1619	1236
567	1621	1233
568	1624	1230
569	1626	1226
570	1628	1223
571	1631	1220
572	1633	1217
573	1635	1214
574	1638	1210
575	1640	1207
576	1643	1204
577	1645	1201
578	1648	1198
579	1650	1194
580	1652	1191
581	1654	1188
582	1657	1185
583	1659	1182
584	1662	1179
585	1664	1175
586	1666	1172
587	1669	1169
588	1671	1166
589	1673	1163
590	1676	1160
591	1678	1156
592	1680	1153
593	1683	1150
594	1685	1147
595	1687	1144
596	1689	1140
597	1692	1137
598	1694	1134
599	1696	1131
600	1699	1128
601	1701	1124
602	1703	1121
603	1705	1118
604	1707	1115
605	1709	1111
606	1712	1108
607	1714	1105
608	1717	1102
609	1719	1099
610	1721	1096
611	1724	1093
612	1726	1090
613	1728	1086
614	1731	1083
615	1733	1080
616	1735	1077
617	1738	1074
618	1740	1071
619	1743	1068
620	1745	1065
621	1747	1062
622	1750	1059
623	1752	1056
624	1754	1052
625	1757	1049
626	1759	1046
627	1761	1043
628	1764	1040
629	1766	1037
630	1768	1034
631	1770	1031
632	1773	1027
633	1775	1024
634	1777	1021
635	1779	1018
636	1781	1015
637	1784	1012
638	1786	1009
639	1788	1006
640	1791	1003
641	1793	999
642	1795	996
643	1797	993
644	1800	990
645	1802	987
646	1805	984
647	1807	981
648	1809	978
649	1811	975
650	1814	972
651	1817	969
652	1819	966
653	1821	963
654	1824	960
655	1826	957
656	1828	954
657	1830	951
658	1833	948
659	1835	945
660	1837	942
661	1839	939
662	1842	936
663	1844	933
664	1846	930
665	1848	927
666	1851	924
